Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom
E02000920,Waltham Forest 026,940
E02000921,Waltham Forest 027,963
E02000922,Waltham Forest 028,591
E02000923,Wandsworth 001,856
E02000925,Wandsworth 003,895
E02000926,Wandsworth 004,1606
E02000927,Wandsworth 005,747
E02000928,Wandsworth 006,600
E02000929,Wandsworth 007,1147
E02000930,Wandsworth 008,928
E02000931,Wandsworth 009,551
E02000932,Wandsworth 010,1392
E02000933,Wandsworth 011,866
E02000934,Wandsworth 012,1283
E02000935,Wandsworth 013,661
E02000936,Wandsworth 014,1098
E02000937,Wandsworth 015,541
E02000938,Wandsworth 016,717
E02000939,Wandsworth 017,389
E02000940,Wandsworth 018,1303
E02000941,Wandsworth 019,805
E02000942,Wandsworth 020,515
E02000943,Wandsworth 021,946
E02000944,Wandsworth 022,579
E02000945,Wandsworth 023,625
E02000946,Wandsworth 024,552
E02000947,Wandsworth 025,705
E02000948,Wandsworth 026,1009
E02000949,Wandsworth 027,993
E02000950,Wandsworth 028,525
E02000951,Wandsworth 029,804
E02000952,Wandsworth 030,753
E02000953,Wandsworth 031,801
E02000954,Wandsworth 032,216
E02000955,Wandsworth 033,315
