Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_bedrooms
E02000754,Redbridge 004,1087
E02000755,Redbridge 005,955
E02000756,Redbridge 006,2256
E02000757,Redbridge 007,1185
E02000758,Redbridge 008,1009
E02000759,Redbridge 009,1608
E02000760,Redbridge 010,942
E02000762,Redbridge 012,725
E02000763,Redbridge 013,1151
E02000764,Redbridge 014,1104
E02000765,Redbridge 015,901
E02000767,Redbridge 017,1198
E02000768,Redbridge 018,655
E02000770,Redbridge 020,946
E02000772,Redbridge 022,847
E02000773,Redbridge 023,1240
E02000774,Redbridge 024,940
E02000776,Redbridge 026,588
E02000777,Redbridge 027,568
E02000779,Redbridge 029,475
E02000781,Redbridge 031,1996
E02000782,Redbridge 032,1075
E02000783,Redbridge 033,828
E02000784,Richmond upon Thames 001,948
E02000785,Richmond upon Thames 002,784
E02000786,Richmond upon Thames 003,1294
E02000787,Richmond upon Thames 004,1253
E02000788,Richmond upon Thames 005,848
E02000789,Richmond upon Thames 006,592
E02000790,Richmond upon Thames 007,597
E02000791,Richmond upon Thames 008,571
E02000792,Richmond upon Thames 009,572
E02000793,Richmond upon Thames 010,1444
E02000794,Richmond upon Thames 011,916
E02000795,Richmond upon Thames 012,615
E02000796,Richmond upon Thames 013,1543
E02000797,Richmond upon Thames 014,788
E02000798,Richmond upon Thames 015,1708
E02000799,Richmond upon Thames 016,457
E02000800,Richmond upon Thames 017,1006
E02000801,Richmond upon Thames 018,878
E02000802,Richmond upon Thames 019,761
E02000803,Richmond upon Thames 020,1274
E02000804,Richmond upon Thames 021,697
E02000805,Richmond upon Thames 022,815
E02000806,Richmond upon Thames 023,1252
E02000807,Southwark 001,783
E02000808,Southwark 002,700
E02000810,Southwark 004,1027
E02000812,Southwark 006,930
E02000813,Southwark 007,980
E02000814,Southwark 008,939
E02000815,Southwark 009,521
E02000816,Southwark 010,998
E02000817,Southwark 011,611
E02000818,Southwark 012,875
E02000819,Southwark 013,746
E02000820,Southwark 014,743
E02000821,Southwark 015,759
E02000822,Southwark 016,614
E02000823,Southwark 017,898
E02000824,Southwark 018,1141
E02000825,Southwark 019,890
E02000826,Southwark 020,972
E02000827,Southwark 021,951
E02000828,Southwark 022,1087
E02000829,Southwark 023,990
E02000830,Southwark 024,762
E02000831,Southwark 025,1006
E02000832,Southwark 026,1123
E02000833,Southwark 027,801
E02000834,Southwark 028,787
E02000835,Southwark 029,962
E02000836,Southwark 030,880
E02000837,Southwark 031,755
E02000838,Southwark 032,888
E02000839,Southwark 033,961
E02000840,Sutton 001,1426
E02000841,Sutton 002,1487
E02000842,Sutton 003,1546
E02000843,Sutton 004,1244
E02000844,Sutton 005,1498
E02000845,Sutton 006,1641
E02000846,Sutton 007,1360
E02000847,Sutton 008,1459
E02000848,Sutton 009,1625
E02000849,Sutton 010,1283
E02000850,Sutton 011,2097
E02000851,Sutton 012,978
E02000852,Sutton 013,1282
E02000853,Sutton 014,1252
E02000854,Sutton 015,1014
E02000855,Sutton 016,1160
E02000856,Sutton 017,803
E02000857,Sutton 018,499
E02000858,Sutton 019,1079
E02000859,Sutton 020,929
E02000860,Sutton 021,473
E02000861,Sutton 022,752
E02000863,Sutton 024,841
E02000864,Tower Hamlets 001,1006
E02000865,Tower Hamlets 002,721
E02000866,Tower Hamlets 003,1293
E02000867,Tower Hamlets 004,804
E02000868,Tower Hamlets 005,616
