Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_or_more_cars
E02000915,Waltham Forest 021,79
E02000916,Waltham Forest 022,97
E02000917,Waltham Forest 023,53
E02000918,Waltham Forest 024,55
E02000919,Waltham Forest 025,50
E02000920,Waltham Forest 026,62
E02000921,Waltham Forest 027,75
E02000922,Waltham Forest 028,66
E02000923,Wandsworth 001,70
E02000925,Wandsworth 003,44
E02000926,Wandsworth 004,42
E02000927,Wandsworth 005,28
E02000928,Wandsworth 006,61
E02000929,Wandsworth 007,17
E02000930,Wandsworth 008,52
E02000931,Wandsworth 009,40
E02000932,Wandsworth 010,104
E02000933,Wandsworth 011,158
E02000934,Wandsworth 012,48
E02000935,Wandsworth 013,60
E02000936,Wandsworth 014,63
E02000937,Wandsworth 015,103
E02000938,Wandsworth 016,74
E02000939,Wandsworth 017,104
E02000940,Wandsworth 018,26
E02000941,Wandsworth 019,90
E02000942,Wandsworth 020,99
E02000943,Wandsworth 021,55
E02000944,Wandsworth 022,46
E02000945,Wandsworth 023,61
E02000946,Wandsworth 024,52
E02000947,Wandsworth 025,46
E02000948,Wandsworth 026,46
E02000949,Wandsworth 027,113
E02000950,Wandsworth 028,67
E02000951,Wandsworth 029,36
E02000952,Wandsworth 030,40
E02000953,Wandsworth 031,34
E02000954,Wandsworth 032,44
E02000955,Wandsworth 033,38
E02000956,Wandsworth 034,21
E02000957,Wandsworth 035,36
E02000958,Wandsworth 036,90
E02000959,Wandsworth 037,46
E02000960,Westminster 001,50
E02000961,Westminster 002,75
E02000962,Westminster 003,32
E02000963,Westminster 004,27
E02000964,Westminster 005,29
E02000965,Westminster 006,28
E02000966,Westminster 007,87
E02000967,Westminster 008,40
E02000968,Westminster 009,37
