Middle layer Super Output Areas Code,Middle layer Super Output Areas,social_rented
E02000815,Southwark 009,748
E02000816,Southwark 010,1210
E02000817,Southwark 011,1309
E02000818,Southwark 012,1098
E02000819,Southwark 013,1293
E02000820,Southwark 014,1499
E02000821,Southwark 015,1403
E02000822,Southwark 016,1371
E02000823,Southwark 017,1471
E02000824,Southwark 018,1995
E02000825,Southwark 019,1731
E02000826,Southwark 020,1378
E02000827,Southwark 021,1755
E02000828,Southwark 022,1389
E02000829,Southwark 023,1544
E02000830,Southwark 024,645
E02000831,Southwark 025,638
E02000832,Southwark 026,1277
E02000833,Southwark 027,1246
E02000834,Southwark 028,322
E02000835,Southwark 029,605
E02000836,Southwark 030,299
E02000837,Southwark 031,271
E02000838,Southwark 032,442
E02000839,Southwark 033,736
E02000840,Sutton 001,927
E02000841,Sutton 002,969
E02000842,Sutton 003,41
E02000843,Sutton 004,189
E02000844,Sutton 005,388
E02000845,Sutton 006,87
E02000846,Sutton 007,77
E02000847,Sutton 008,35
E02000848,Sutton 009,34
E02000849,Sutton 010,268
E02000850,Sutton 011,200
E02000851,Sutton 012,640
E02000852,Sutton 013,50
E02000853,Sutton 014,184
E02000854,Sutton 015,86
E02000855,Sutton 016,49
E02000856,Sutton 017,60
E02000857,Sutton 018,120
E02000858,Sutton 019,273
E02000859,Sutton 020,151
E02000860,Sutton 021,314
E02000861,Sutton 022,56
E02000863,Sutton 024,170
E02000864,Tower Hamlets 001,572
E02000865,Tower Hamlets 002,763
E02000866,Tower Hamlets 003,300
E02000867,Tower Hamlets 004,534
E02000868,Tower Hamlets 005,407
E02000869,Tower Hamlets 006,687
E02000870,Tower Hamlets 007,591
E02000871,Tower Hamlets 008,496
E02000872,Tower Hamlets 009,788
E02000873,Tower Hamlets 010,881
E02000874,Tower Hamlets 011,733
E02000875,Tower Hamlets 012,778
E02000876,Tower Hamlets 013,467
E02000877,Tower Hamlets 014,632
E02000878,Tower Hamlets 015,440
E02000879,Tower Hamlets 016,463
E02000880,Tower Hamlets 017,627
E02000881,Tower Hamlets 018,525
E02000882,Tower Hamlets 019,786
E02000883,Tower Hamlets 020,475
E02000884,Tower Hamlets 021,372
E02000885,Tower Hamlets 022,477
E02000886,Tower Hamlets 023,699
E02000887,Tower Hamlets 024,983
E02000888,Tower Hamlets 025,467
E02000889,Tower Hamlets 026,403
E02000890,Tower Hamlets 027,233
E02000893,Tower Hamlets 030,231
E02000894,Tower Hamlets 031,182
E02000895,Waltham Forest 001,377
E02000896,Waltham Forest 002,165
E02000897,Waltham Forest 003,804
