Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_with_mortgage
E02000870,Tower Hamlets 007,362
E02000871,Tower Hamlets 008,578
E02000872,Tower Hamlets 009,385
E02000873,Tower Hamlets 010,505
E02000874,Tower Hamlets 011,321
E02000875,Tower Hamlets 012,733
E02000876,Tower Hamlets 013,375
E02000877,Tower Hamlets 014,1006
E02000878,Tower Hamlets 015,476
E02000879,Tower Hamlets 016,402
E02000880,Tower Hamlets 017,284
E02000881,Tower Hamlets 018,506
E02000882,Tower Hamlets 019,412
E02000883,Tower Hamlets 020,420
E02000884,Tower Hamlets 021,469
E02000885,Tower Hamlets 022,216
E02000886,Tower Hamlets 023,699
E02000887,Tower Hamlets 024,488
E02000888,Tower Hamlets 025,609
E02000889,Tower Hamlets 026,608
E02000890,Tower Hamlets 027,642
E02000893,Tower Hamlets 030,565
E02000894,Tower Hamlets 031,884
E02000895,Waltham Forest 001,1009
E02000896,Waltham Forest 002,1281
E02000897,Waltham Forest 003,1058
E02000898,Waltham Forest 004,1037
E02000899,Waltham Forest 005,1109
E02000900,Waltham Forest 006,1037
E02000901,Waltham Forest 007,1516
E02000902,Waltham Forest 008,1150
E02000903,Waltham Forest 009,1018
E02000904,Waltham Forest 010,1140
E02000905,Waltham Forest 011,1290
E02000906,Waltham Forest 012,1158
E02000907,Waltham Forest 013,889
E02000908,Waltham Forest 014,1381
E02000909,Waltham Forest 015,1198
E02000910,Waltham Forest 016,1154
E02000911,Waltham Forest 017,1177
E02000912,Waltham Forest 018,979
E02000913,Waltham Forest 019,886
E02000914,Waltham Forest 020,779
E02000915,Waltham Forest 021,886
E02000916,Waltham Forest 022,1227
E02000917,Waltham Forest 023,1143
E02000918,Waltham Forest 024,792
E02000919,Waltham Forest 025,831
E02000920,Waltham Forest 026,737
E02000921,Waltham Forest 027,713
E02000922,Waltham Forest 028,964
E02000923,Wandsworth 001,637
E02000925,Wandsworth 003,502
E02000926,Wandsworth 004,1210
E02000927,Wandsworth 005,592
E02000928,Wandsworth 006,1050
E02000929,Wandsworth 007,439
E02000930,Wandsworth 008,893
E02000931,Wandsworth 009,1156
E02000932,Wandsworth 010,1547
E02000933,Wandsworth 011,1022
E02000934,Wandsworth 012,1004
E02000935,Wandsworth 013,227
E02000936,Wandsworth 014,947
E02000937,Wandsworth 015,1012
E02000938,Wandsworth 016,1018
E02000939,Wandsworth 017,1007
E02000940,Wandsworth 018,1053
E02000941,Wandsworth 019,1471
E02000942,Wandsworth 020,1261
E02000943,Wandsworth 021,1072
E02000944,Wandsworth 022,526
E02000945,Wandsworth 023,420
E02000946,Wandsworth 024,948
E02000947,Wandsworth 025,1407
E02000948,Wandsworth 026,1317
