Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000593,Kensington and Chelsea 017,Works mainly from home,2359
E02000594,Kensington and Chelsea 018,Works mainly from home,2055
E02000595,Kensington and Chelsea 019,Works mainly from home,1908
E02000596,Kensington and Chelsea 020,Works mainly from home,2246
E02000597,Kensington and Chelsea 021,Works mainly from home,1376
E02000598,Kingston upon Thames 001,Works mainly from home,2234
E02000599,Kingston upon Thames 002,Works mainly from home,1649
E02000600,Kingston upon Thames 003,Works mainly from home,1966
E02000601,Kingston upon Thames 004,Works mainly from home,3562
E02000602,Kingston upon Thames 005,Works mainly from home,2048
E02000603,Kingston upon Thames 006,Works mainly from home,1316
E02000604,Kingston upon Thames 007,Works mainly from home,2225
E02000605,Kingston upon Thames 008,Works mainly from home,2039
E02000606,Kingston upon Thames 009,Works mainly from home,3173
E02000607,Kingston upon Thames 010,Works mainly from home,1878
E02000608,Kingston upon Thames 011,Works mainly from home,2453
E02000609,Kingston upon Thames 012,Works mainly from home,1382
E02000610,Kingston upon Thames 013,Works mainly from home,2321
E02000611,Kingston upon Thames 014,Works mainly from home,1734
