Middle layer Super Output Areas Code,Middle layer Super Output Areas,Warehouse
E02000792,Richmond upon Thames 009,29
E02000793,Richmond upon Thames 010,14
E02000794,Richmond upon Thames 011,7
E02000795,Richmond upon Thames 012,17
E02000796,Richmond upon Thames 013,11
E02000797,Richmond upon Thames 014,77
E02000798,Richmond upon Thames 015,5
E02000799,Richmond upon Thames 016,13
E02000800,Richmond upon Thames 017,5
E02000801,Richmond upon Thames 018,17
E02000802,Richmond upon Thames 019,74
E02000803,Richmond upon Thames 020,11
E02000804,Richmond upon Thames 021,36
E02000805,Richmond upon Thames 022,71
E02000806,Richmond upon Thames 023,109
E02000807,Southwark 001,139
E02000808,Southwark 002,236
E02000810,Southwark 004,142
E02000812,Southwark 006,331
E02000813,Southwark 007,188
E02000814,Southwark 008,33
E02000815,Southwark 009,115
E02000816,Southwark 010,110
E02000817,Southwark 011,25
E02000818,Southwark 012,120
E02000819,Southwark 013,18
E02000820,Southwark 014,22
E02000821,Southwark 015,37
E02000822,Southwark 016,45
E02000823,Southwark 017,92
E02000824,Southwark 018,43
E02000825,Southwark 019,37
E02000826,Southwark 020,141
E02000827,Southwark 021,83
E02000828,Southwark 022,30
E02000829,Southwark 023,162
E02000830,Southwark 024,97
E02000831,Southwark 025,86
E02000832,Southwark 026,46
E02000833,Southwark 027,11
E02000834,Southwark 028,44
E02000835,Southwark 029,56
E02000836,Southwark 030,33
E02000837,Southwark 031,17
E02000838,Southwark 032,34
E02000839,Southwark 033,16
E02000840,Sutton 001,17
E02000841,Sutton 002,7
E02000842,Sutton 003,20
E02000843,Sutton 004,12
E02000844,Sutton 005,6
E02000845,Sutton 006,11
E02000846,Sutton 007,3
E02000847,Sutton 008,35
E02000848,Sutton 009,8
E02000849,Sutton 010,23
E02000850,Sutton 011,20
E02000851,Sutton 012,85
E02000852,Sutton 013,23
E02000853,Sutton 014,0
E02000854,Sutton 015,38
E02000855,Sutton 016,34
E02000856,Sutton 017,47
E02000857,Sutton 018,13
E02000858,Sutton 019,21
E02000859,Sutton 020,7
E02000860,Sutton 021,20
E02000861,Sutton 022,10
E02000863,Sutton 024,0
E02000864,Tower Hamlets 001,106
E02000865,Tower Hamlets 002,79
E02000866,Tower Hamlets 003,179
E02000867,Tower Hamlets 004,471
E02000868,Tower Hamlets 005,224
E02000869,Tower Hamlets 006,64
E02000870,Tower Hamlets 007,44
E02000871,Tower Hamlets 008,20
E02000872,Tower Hamlets 009,126
E02000873,Tower Hamlets 010,36
E02000874,Tower Hamlets 011,95
E02000875,Tower Hamlets 012,52
E02000876,Tower Hamlets 013,124
E02000877,Tower Hamlets 014,108
E02000878,Tower Hamlets 015,307
E02000879,Tower Hamlets 016,117
E02000880,Tower Hamlets 017,55
E02000881,Tower Hamlets 018,164
E02000882,Tower Hamlets 019,66
E02000883,Tower Hamlets 020,47
E02000884,Tower Hamlets 021,374
E02000885,Tower Hamlets 022,46
E02000886,Tower Hamlets 023,112
E02000887,Tower Hamlets 024,105
E02000888,Tower Hamlets 025,99
E02000889,Tower Hamlets 026,143
E02000890,Tower Hamlets 027,515
E02000893,Tower Hamlets 030,58
E02000894,Tower Hamlets 031,132
E02000895,Waltham Forest 001,7
E02000896,Waltham Forest 002,20
E02000897,Waltham Forest 003,20
E02000898,Waltham Forest 004,1
E02000899,Waltham Forest 005,8
E02000900,Waltham Forest 006,6
E02000901,Waltham Forest 007,6
E02000902,Waltham Forest 008,3
E02000903,Waltham Forest 009,13
E02000904,Waltham Forest 010,22
E02000905,Waltham Forest 011,27
E02000906,Waltham Forest 012,9
E02000907,Waltham Forest 013,52
E02000908,Waltham Forest 014,25
E02000909,Waltham Forest 015,36
E02000910,Waltham Forest 016,82
E02000911,Waltham Forest 017,42
E02000912,Waltham Forest 018,8
E02000913,Waltham Forest 019,17
E02000914,Waltham Forest 020,23
E02000915,Waltham Forest 021,26
E02000916,Waltham Forest 022,43
E02000917,Waltham Forest 023,42
E02000918,Waltham Forest 024,25
E02000919,Waltham Forest 025,20
E02000920,Waltham Forest 026,58
E02000921,Waltham Forest 027,16
E02000922,Waltham Forest 028,23
E02000923,Wandsworth 001,107
E02000925,Wandsworth 003,62
E02000926,Wandsworth 004,120
E02000927,Wandsworth 005,33
E02000928,Wandsworth 006,33
E02000929,Wandsworth 007,18
E02000930,Wandsworth 008,114
E02000931,Wandsworth 009,27
E02000932,Wandsworth 010,75
E02000933,Wandsworth 011,53
E02000934,Wandsworth 012,108
E02000935,Wandsworth 013,8
E02000936,Wandsworth 014,28
E02000937,Wandsworth 015,28
E02000938,Wandsworth 016,14
E02000939,Wandsworth 017,23
E02000940,Wandsworth 018,77
E02000941,Wandsworth 019,34
